Taxa,trnL-LF,rbcL,ITS,matK
Draba persica,DQ467130.1,,,
Draba peruviana,AF147006.1,,AF146468.1,
Draba pickeringii,AF146916.1,,AF146469.1,
Draba pilosa,GQ244878.1,KC482631.1,GU202523.1,KC474642.1
Draba pohlei,GU202649.1,,GU202526.1,
Draba polyphylla,DQ467059.1,,DQ467412.1,
Draba porsildii,DQ467186.1,,AY573497.1,
Draba praealta,DQ467185.1,,DQ467610.1,
Draba primuloides,KC412413.1,,KC412309.1,
Draba prozorovskii,GU202773.1,,GU202528.1,
Draba pseudocheiranthoides,,,AF146450.1,
Draba pterosperma,,,AF146493.1,
Draba pulchella,DQ467146.1,,KC412310.1,
Draba pulcherrima,GU202850.1,,Ingrid_MO79,
Draba pulvinata,GU202919.1,,,
Draba pusilla,GU202774.1,,AF146470.1,
Draba pycnophylla,GU202853.1,,AF146471.1,
Draba pycnosperma,DQ467131.1,,DQ467558.1,
Draba pygmaea,GU202854.1,,KC412311.1,
Draba radicans,AY134245.1,,DQ467414.1,
Draba ramosissima 76,AF146946.1/AF146975.1,,AF146499.1,
Draba ramosissima MO159,GU202925.1/GU202857.1,,Ingrid_MO159,
Draba ramosissima MO160,GU202775.1/GU202653.1,,GU202531.1,
Draba ramosissima MO162,GU202926.1/GU202858.1,,Ingrid_MO162,
Draba ramosissima MO163,GU202927.1/GU202859.1,,Ingrid_MO163,
Draba ramosissima MO164,Ingrid_MO164/Ingrid_MO164,,Ingrid_MO164,
Draba ramosissima O26,DQ467184.1,,DQ467609.1,
Draba ramulosa,,,AY047680.1,
Draba rectifructa,KC412414.1,,KC412312.1,
Draba repens,DQ466946.1,,,
Draba rigida,AY134343.1,,AY134137.1,
Draba ritacuvana,AF147022.1,,AF146451.1,
Draba rositae,AF147021.1,,AF146452.1,
Draba rosularis,DQ466948.1,,DQ467258.1,
Draba ruaxes,DQ467182.1,,DQ467607.1,
Draba rupestris,DQ467097.1,,DQ467487.1,
Draba sachalinensis,DQ466947.1,,DQ467257.1,
Draba sauteri,AY900356.1,,DQ467587.1,
Draba scabra,,,FM957520.1,
Draba scardica,AY900321.1,,DQ467260.1,
Draba schusteri,AF147020.1,,AF146453.1,
Draba scopulorum,GU202861.1,,AF146472.1,
Draba senilis,AY134389.1,,,
Draba sericea,AF147001.1,,AF146473.1,
Draba setosa,DQ467060.1,,AY134098.1,
Draba sherriffii,AY134362.1,,AY134103.1,
Draba shiroumana,DQ467125.1,,,
Draba sibirica,GU202781.1,,GU202537.1,
Draba sikkimensis,DQ467062.1,,DQ467418.1,
Draba siliquosa,DQ467140.1,,FM957521.1,
Draba simmonsii,,KC482636.1,,KC474649.1
Draba sobolifera,,,AY047681.1,
Draba solitaria,AF146896.1,,AF146445.1,
Draba soratensis,AF147000.1,,AF146474.1,
Draba spectabilis,AY900433.1,,AY047682.1,
Draba sphaerocarpa,DQ467197.1,,DQ467624.1,
Draba sphaeroides,DQ467195.1,,DQ467622.1,
Draba splendens,AF146922.1,,AF146475.1,
Draba spruceana,Ingrid_MO92,,AF146448.1,
Draba staintonii,AY134303.1,,DQ467419.1,
Draba standleyi,AF146977.1,,AF146497.1,
Draba stenobotrys,DQ467065.1,,DQ467421.1,
Draba stenocarpa,AY134377.1,,DQ467423.1,
Draba stenoloba,AY900346.1,,DQ467561.1,
Draba stenopetala,AY900420.1,,DQ467559.1,
Draba steyermarkii,GU202933.1,,,
Draba streptobrachia,DQ467132.1,,DQ467562.1,
